레벨,굴러숭이,불꽃숭이,진불꽃숭이,통나무숭이,바위숭이,폭탄숭이,소환숭이,주술사숭이,제사장숭이,숭오공,도사숭이,제천대숭,골렘숭이,골렘숭이mk.2,자이언트숭,양손,바구니,노가다,수레,유모차,마차,자전거,툭툭이,오토바이,카피바라,타조,코끼리,열기구,비행기,UFO
1,1000 ,9600 ,914400 ,118800 ,3095944800 ,3320269800 ,3128236800 ,11489569800 ,9226321069800 ,4681969800 ,43637569800 ,15533616739800 ,8679137569800 ,9226326739800 ,36994116739800 ,1000 ,9600 ,914400 ,118800 ,3095944800 ,3320269800 ,3128236800 ,11489569800 ,9226321069800 ,4681969800 ,43637569800 ,15533616739800 ,8679137569800 ,9226326739800 ,36994116739800 
2,40 ,950 ,515179600 ,10500 ,516404800 ,791009000 ,632000000 ,3785500000 ,3846610178300 ,1277200000 ,100955000000 ,6974436123300 ,3050942178300 ,3966183623300 ,18404806123300 ,40 ,950 ,515179600 ,10500 ,516404800 ,791009000 ,632000000 ,3785500000 ,3846610178300 ,1277200000 ,100955000000 ,6974436123300 ,3050942178300 ,3966183623300 ,18404806123300 
3,42 ,988 ,535786784 ,10920 ,537060992 ,822649360 ,657280000 ,3936920000 ,4000474585432 ,1328288000 ,104993200000 ,7253413568232 ,3172979865432 ,4124830968232 ,19140998368232 ,42 ,988 ,535786784 ,10920 ,537060992 ,822649360 ,657280000 ,3936920000 ,4000474585432 ,1328288000 ,104993200000 ,7253413568232 ,3172979865432 ,4124830968232 ,19140998368232 
4,43 ,1028 ,557218255 ,11357 ,558543432 ,855555334 ,683571200 ,4094396800 ,4160493568849 ,1381419520 ,109192928000 ,7543550110961 ,3299899060049 ,4289824206961 ,19906638302961 ,43 ,1028 ,557218255 ,11357 ,558543432 ,855555334 ,683571200 ,4094396800 ,4160493568849 ,1381419520 ,109192928000 ,7543550110961 ,3299899060049 ,4289824206961 ,19906638302961 
5,45 ,1069 ,579506986 ,11811 ,580885169 ,889777548 ,710914048 ,4258172672 ,4326913311603 ,1436676301 ,113560645120 ,7845292115400 ,3431895022451 ,4461417175240 ,20702903835080 ,45 ,1069 ,579506986 ,11811 ,580885169 ,889777548 ,710914048 ,4258172672 ,4326913311603 ,1436676301 ,113560645120 ,7845292115400 ,3431895022451 ,4461417175240 ,20702903835080 
6,47 ,1111 ,602687265 ,12284 ,604120576 ,925368650 ,739350610 ,4428499579 ,4499989844067 ,1494143353 ,118103070925 ,8159103800016 ,3569170823349 ,4639873862249 ,21531019988483 ,47 ,1111 ,602687265 ,12284 ,604120576 ,925368650 ,739350610 ,4428499579 ,4499989844067 ,1494143353 ,118103070925 ,8159103800016 ,3569170823349 ,4639873862249 ,21531019988483 
7,49 ,1156 ,626794756 ,12775 ,628285399 ,962383396 ,768924634 ,4605639562 ,4679989437830 ,1553909087 ,122827193762 ,8485467952016 ,3711937656283 ,4825468816739 ,22392260788022 ,49 ,1156 ,626794756 ,12775 ,628285399 ,962383396 ,768924634 ,4605639562 ,4679989437830 ,1553909087 ,122827193762 ,8485467952016 ,3711937656283 ,4825468816739 ,22392260788022 
8,51 ,1202 ,651866546 ,13286 ,653416815 ,1000878732 ,799681620 ,4789865145 ,4867189015343 ,1616065450 ,127740281512 ,8824886670097 ,3860415162535 ,5018487569409 ,23287951219543 ,51 ,1202 ,651866546 ,13286 ,653416815 ,1000878732 ,799681620 ,4789865145 ,4867189015343 ,1616065450 ,127740281512 ,8824886670097 ,3860415162535 ,5018487569409 ,23287951219543 
9,53 ,1250 ,677941208 ,13817 ,679553487 ,1040913881 ,831668884 ,4981459750 ,5061876575957 ,1680708068 ,132849892773 ,9177882136901 ,4014831769036 ,5219227072185 ,24219469268325 ,53 ,1250 ,677941208 ,13817 ,679553487 ,1040913881 ,831668884 ,4981459750 ,5061876575957 ,1680708068 ,132849892773 ,9177882136901 ,4014831769036 ,5219227072185 ,24219469268325 
10,55 ,1300 ,705058856 ,14370 ,706735627 ,1082550436 ,864935640 ,5180718140 ,5264351638995 ,1747936391 ,138163888484 ,9544997422377 ,4175425039797 ,5427996155073 ,25188248039058 ,55 ,1300 ,705058856 ,14370 ,706735627 ,1082550436 ,864935640 ,5180718140 ,5264351638995 ,1747936391 ,138163888484 ,9544997422377 ,4175425039797 ,5427996155073 ,25188248039058 
11,57 ,1352 ,733261210 ,14945 ,735005052 ,1125852453 ,899533065 ,5387946866 ,5474925704555 ,1817853847 ,143690444023 ,9926797319272 ,4342442041389 ,5645116001276 ,26195777960620 ,57 ,1352 ,733261210 ,14945 ,735005052 ,1125852453 ,899533065 ,5387946866 ,5474925704555 ,1817853847 ,143690444023 ,9926797319272 ,4342442041389 ,5645116001276 ,26195777960620 
12,59 ,1406 ,762591659 ,15543 ,764405254 ,1170886552 ,935514388 ,5603464741 ,5693922732737 ,1890568001 ,149438061784 ,10323869212043 ,4516139723045 ,5870920641327 ,27243609079045 ,59 ,1406 ,762591659 ,15543 ,764405254 ,1170886552 ,935514388 ,5603464741 ,5693922732737 ,1890568001 ,149438061784 ,10323869212043 ,4516139723045 ,5870920641327 ,27243609079045 
13,62 ,1462 ,793095325 ,16164 ,794981464 ,1217722014 ,972934964 ,5827603330 ,5921679642047 ,1966190721 ,155415584255 ,10736823980525 ,4696785311967 ,6105757466980 ,28333353442207 ,62 ,1462 ,793095325 ,16164 ,794981464 ,1217722014 ,972934964 ,5827603330 ,5921679642047 ,1966190721 ,155415584255 ,10736823980525 ,4696785311967 ,6105757466980 ,28333353442207 
14,64 ,1521 ,824819138 ,16811 ,826780723 ,1266430894 ,1011852362 ,6060707463 ,6158546827729 ,2044838350 ,161632207626 ,11166296939746 ,4884656724445 ,6349987765659 ,29466687579895 ,64 ,1521 ,824819138 ,16811 ,826780723 ,1266430894 ,1011852362 ,6060707463 ,6158546827729 ,2044838350 ,161632207626 ,11166296939746 ,4884656724445 ,6349987765659 ,29466687579895 
